AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
agronomicos,Overall,0.0,0.0,25.0,0.7352941176470589,-4.451143686208498,3.3680699267719245e-05,Yes,-100.0
domesticada,Overall,0.0,0.0,22.0,0.6470588235294118,-4.446046191018855,3.4300498967279326e-05,Yes,-100.0
articulos,Overall,21.0,0.6176470588235294,0.0,0.0,4.40793676702106,3.9298304614449024e-05,Yes,0.0
consumo,Overall,0.0,0.0,17.0,0.5,-4.398275524135214,4.0673571482247465e-05,Yes,-100.0
tuberosum,Overall,0.0,0.0,31.0,0.9117647058823529,-4.3747920029874034,4.4213974407726285e-05,Yes,-100.0
Almacenamiento,Overall,19.0,0.5588235294117647,0.0,0.0,4.1461399144838555,9.853917648106743e-05,Yes,0.0
habitantes,Overall,0.0,0.0,16.0,0.47058823529411764,-4.143758162262498,9.935421007666425e-05,Yes,-100.0
comprende,Overall,0.0,0.0,30.0,0.8823529411764706,-4.117287310174084,0.0001088619358637215,Yes,-100.0
GuineaEcuatorial,Overall,0.0,0.0,33.0,0.9705882352941176,-4.096968040821226,0.0001167497503238312,Yes,-100.0
compartimento3,Overall,21.0,0.6176470588235294,0.0,0.0,4.0551285795409955,0.00013476359971490259,Yes,0.0
Espalda,Overall,21.0,0.6176470588235294,0.0,0.0,4.0551285795409955,0.00013476359971490259,Yes,0.0
bolsillo,Overall,13.0,0.38235294117647056,0.0,0.0,4.044111609448658,0.00013993540446704698,Yes,0.0
Titiaca,Overall,0.0,0.0,29.0,0.8529411764705882,-4.029804119370012,0.00014693784335776888,Yes,-100.0
cremalleras,Overall,24.0,0.7058823529411765,0.0,0.0,3.993282950760217,0.00016637554537024394,Yes,0.0
anchas,Overall,11.0,0.3235294117647059,0.0,0.0,3.9727331518303837,0.00017837675160994917,Yes,0.0
compartimento,Overall,22.0,0.6470588235294118,0.0,0.0,3.9727331518303837,0.00017837675160994917,Yes,0.0
creciendo,Overall,0.0,0.0,22.0,0.6470588235294118,-3.9727331518303837,0.00017837675160994917,Yes,-100.0
gastronomico,Overall,0.0,0.0,25.0,0.7352941176470589,-3.963369980129374,0.00018411697288865653,Yes,-100.0
construida,Overall,15.0,0.4411764705882353,0.0,0.0,3.8966715386024777,0.00023045770644261872,Yes,0.0
mayor,Overall,15.0,0.4411764705882353,0.0,0.0,3.8966715386024777,0.00023045770644261872,Yes,0.0
compartimento2,Overall,16.0,0.47058823529411764,0.0,0.0,3.8840332498208983,0.00024041831421106063,Yes,0.0
compartimento1,Overall,29.0,0.8529411764705882,0.0,0.0,3.878437368678812,0.0002449593421513463,Yes,0.0
solanaceas,Overall,0.0,0.0,28.0,0.8235294117647058,-3.864924881779902,0.00025626635328759883,Yes,-100.0
consideraban,Overall,0.0,0.0,28.0,0.8235294117647058,-3.864924881779902,0.00025626635328759883,Yes,-100.0
pertenenciente,Overall,0.0,0.0,25.0,0.7352941176470589,-3.864560755565116,0.00025657786765291086,Yes,-100.0
personales,Overall,19.0,0.5588235294117647,0.0,0.0,3.790821242634207,0.00032773086790093166,Yes,0.0
paneles,Overall,12.0,0.35294117647058826,0.0,0.0,3.7832860071699836,0.00033598337212689656,Yes,0.0
