AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
agronomicos,Patata,0.0,0.0,25.0,1.4705882352941178,-6.933752452815365,7.497152470438251e-08,Yes,-100.0
domesticada,Patata,0.0,0.0,22.0,1.2941176470588236,-6.913932971601798,7.928771849591672e-08,Yes,-100.0
consumo,Patata,0.0,0.0,17.0,1.0,-6.733003292241386,1.3239276419030782e-07,Yes,-100.0
tuberosum,Patata,0.0,0.0,31.0,1.8235294117647058,-6.647097715994328,1.6905606006530098e-07,Yes,-100.0
habitantes,Patata,0.0,0.0,16.0,0.9411764705882353,-5.89167755454927,1.4855222109896764e-06,Yes,-100.0
comprende,Patata,0.0,0.0,30.0,1.7647058823529411,-5.814018997338111,1.8608775050993022e-06,Yes,-100.0
GuineaEcuatorial,Patata,0.0,0.0,33.0,1.9411764705882353,-5.755473506599705,2.205687384800466e-06,Yes,-100.0
Titiaca,Patata,0.0,0.0,29.0,1.7058823529411764,-5.568178184552904,3.8021881517176225e-06,Yes,-100.0
creciendo,Patata,0.0,0.0,22.0,1.2941176470588236,-5.416025603090641,5.920800549479623e-06,Yes,-100.0
gastronomico,Patata,0.0,0.0,25.0,1.4705882352941178,-5.39163866017192,6.356521259231801e-06,Yes,-100.0
solanaceas,Patata,0.0,0.0,28.0,1.6470588235294117,-5.144330376355804,1.3059522696462176e-05,Yes,-100.0
consideraban,Patata,0.0,0.0,28.0,1.6470588235294117,-5.144330376355804,1.3059522696462176e-05,Yes,-100.0
pertenenciente,Patata,0.0,0.0,25.0,1.4705882352941178,-5.143444998736398,1.3093215102239004e-05,Yes,-100.0
tuberculos,Patata,0.0,0.0,12.0,0.7058823529411765,-4.950821982042209,2.2923965124493576e-05,Yes,-100.0
Hispanoamerica,Patata,0.0,0.0,24.0,1.411764705882353,-4.950821982042209,2.2923965124493576e-05,Yes,-100.0
parte,Patata,0.0,0.0,12.0,0.7058823529411765,-4.950821982042209,2.2923965124493576e-05,Yes,-100.0
herbacea,Patata,0.0,0.0,21.0,1.2352941176470589,-4.932649843923509,2.4166292962834387e-05,Yes,-100.0
eruopa,Patata,0.0,0.0,18.0,1.0588235294117647,-4.854239009735343,3.034150839444858e-05,Yes,-100.0
