AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
articulos,Mochila,21.0,1.2352941176470589,0.0,0.0,6.768912897813195,1.1955535193852285e-07,Yes,0.0
Almacenamiento,Mochila,19.0,1.1176470588235294,0.0,0.0,5.89874399536813,1.4553985339445353e-06,Yes,0.0
Espalda,Mochila,21.0,1.2352941176470589,0.0,0.0,5.637710863797804,3.105922828097766e-06,Yes,0.0
compartimento3,Mochila,21.0,1.2352941176470589,0.0,0.0,5.637710863797804,3.105922828097766e-06,Yes,0.0
bolsillo,Mochila,13.0,0.7647058823529411,0.0,0.0,5.607304206578798,3.393114854203381e-06,Yes,0.0
cremalleras,Mochila,24.0,1.411764705882353,0.0,0.0,5.470107670062623,5.058209227532713e-06,Yes,0.0
compartimento,Mochila,22.0,1.2941176470588236,0.0,0.0,5.416025603090641,5.920800549479623e-06,Yes,0.0
anchas,Mochila,11.0,0.6470588235294118,0.0,0.0,5.41602560309064,5.920800549479642e-06,Yes,0.0
construida,Mochila,15.0,0.8823529411764706,0.0,0.0,5.222329678670935,1.0406986685716084e-05,Yes,0.0
mayor,Mochila,15.0,0.8823529411764706,0.0,0.0,5.222329678670935,1.0406986685716084e-05,Yes,0.0
compartimento2,Mochila,16.0,0.9411764705882353,0.0,0.0,5.191085476184401,1.1397951340035557e-05,Yes,0.0
compartimento1,Mochila,29.0,1.7058823529411764,0.0,0.0,5.17733337505844,1.186346763701287e-05,Yes,0.0
personales,Mochila,19.0,1.1176470588235294,0.0,0.0,4.968275423500663,2.179067221120362e-05,Yes,0.0
paneles,Mochila,12.0,0.7058823529411765,0.0,0.0,4.950821982042209,2.2923965124493576e-05,Yes,0.0
multifuncionales,Mochila,25.0,1.4705882352941178,0.0,0.0,4.926646390821466,2.4591262940760723e-05,Yes,0.0
transporte,Mochila,18.0,1.0588235294117647,0.0,0.0,4.854239009735343,3.034150839444858e-05,Yes,0.0
permite,Mochila,17.0,1.0,0.0,0.0,4.760952285695233,3.97591537046534e-05,Yes,0.0
