AOI,Oscuro_Total,Oscuro_Mean,Oscuro_Std,Claro_Total,Claro_Mean,Claro_Std,t_statistic,p_value,Significant,Difference_%
2,2.0,0.058823529411764705,0.23883257361061289,287.0,8.441176470588236,9.991484788105558,-4.890478244256895,6.763023027195911e-06,Yes,-99.30313588850174
3,252.0,7.411764705882353,9.218287644377027,0.0,0.0,0.0,4.688250695049003,1.4274829530694483e-05,Yes,0.0
agronomicos,0.0,0.0,0.0,25.0,0.7352941176470589,0.9632276400887883,-4.451143686208498,3.3680699267719245e-05,Yes,-100.0
domesticada,0.0,0.0,0.0,22.0,0.6470588235294118,0.8486121625899217,-4.446046191018855,3.4300498967279326e-05,Yes,-100.0
articulos,21.0,0.6176470588235294,0.817042185118868,0.0,0.0,0.0,4.40793676702106,3.9298304614449024e-05,Yes,0.0
consumo,0.0,0.0,0.0,17.0,0.5,0.6628679652796169,-4.398275524135214,4.0673571482247465e-05,Yes,-100.0
tuberosum,0.0,0.0,0.0,31.0,0.9117647058823529,1.215247750244432,-4.3747920029874034,4.4213974407726285e-05,Yes,-100.0
Almacenamiento,19.0,0.5588235294117647,0.7859052479933758,0.0,0.0,0.0,4.1461399144838555,9.853917648106743e-05,Yes,0.0
habitantes,0.0,0.0,0.0,16.0,0.47058823529411764,0.662195344137054,-4.143758162262498,9.935421007666425e-05,Yes,-100.0
comprende,0.0,0.0,0.0,30.0,0.8823529411764706,1.249598866117927,-4.117287310174084,0.0001088619358637215,Yes,-100.0
GuineaEcuatorial,0.0,0.0,0.0,33.0,0.9705882352941176,1.3813759964230452,-4.096968040821226,0.0001167497503238312,Yes,-100.0
Espalda,21.0,0.6176470588235294,0.8881272732418117,0.0,0.0,0.0,4.0551285795409955,0.00013476359971490259,Yes,0.0
compartimento3,21.0,0.6176470588235294,0.8881272732418117,0.0,0.0,0.0,4.0551285795409955,0.00013476359971490259,Yes,0.0
bolsillo,13.0,0.38235294117647056,0.5512908203729234,0.0,0.0,0.0,4.044111609448658,0.00013993540446704698,Yes,0.0
