Recording	Participant	Timeline	TOI	Interval	Media	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	1	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	2	Encuesta TFG (1)	24	209,42	31,03	981,16	280,74	6,47	0,51	24,6	155,37	2221	271,21	87,15	61,28	4,18
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	3	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	4	Encuesta TFG (1)	47	90,93	30,17	389,21	77,28	2,8	0,67	16,88	131,81	73	87,87	176,96	108,69	5,91
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	5	Encuesta TFG (1)	52	85,81	30,49	456,89	70,28	2,47	0,59	7,16	128,39	245	92,31	72,24	64,75	1,28
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	6	Encuesta TFG (1)	47	102,68	30,29	725,97	114,09	3,19	0,53	17,85	150,05	452	164,1	52,44	52,44	1,63
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	7	Encuesta TFG (1)	1	55,07	55,07	55,07		1,37	1,37	1,37	1,37	275	108,11	55,07	43,24	1,37
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	8	Encuesta TFG (1)	181	72,49	30,26	237,95	44,23	2,32	0,6	8,08	419,02	86	109,51	53,17	51,05	1,91
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	9	Encuesta TFG (1)	0													
Recording1	Participant1	Timeline1-Mode1	Encuesta TFG (https://docs.google.com/forms/d/e/1FAIpQLScO_bPbdKyF4j0l8ErJKc5x4iDLPosdmhHP9YoPpKEe2PBBhA/formResponse)	10	Encuesta TFG (1)	7	150,32	36,43	604,09	203	3,63	0,57	11,89	25,38	21	87,94	604,09	236,58	11,89
