Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	Este	250	1	1022	250	250	250	250	1	1022	250	250	250	250	250	1	1022	250	283	283	283	283	1	989	283	0			0			0		1272		53,73		1	1	Este	Word	4	250	250	250	0	250	250	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	experimento	366	1	1306	366	366	366	366	1	1306	366	366	366	366	366	1	1306	366	400	400	400	400	1	1272	400	0			0			0	1272	1672	53,73	179,96		2	1	experimento	Word	11	366	366	366	0	366	366	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	va	0	0		0				0			0				0			0				0			0			0			0						3	1	va	Word	2	0	0	0		0	0	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	a	0	0		0				0			0				0			0				0			0			0			0						4	1	a	Word	1	0	0	0		0	0	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	consistir	433	2	1705	433	217	83	350	2	1705	350	466	466	466	466	1	1705	466	500	500	500	500	1	1672	500	0			0			1	1672	2172	179,96	72,2		5	1	consistir	Word	9	350	433	433	0	433	433	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	en	0	0		0				0			0				0			0				0			0			0			0						6	1	en	Word	2	0	0	0		0	0	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	leer	400	1	2205	400	400	400	400	1	2205	400	400	400	400	400	1	2205	400	433	433	433	433	1	2172	433	0			0			0	2172	2605	72,2	79,57		7	1	leer	Word	4	400	400	400	0	400	400	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	dos	83	1	2638	0				0			83	83	83	83	1	2638	83	117	117	117	117	1	2605	117	0			0			0	2605		79,57			8	1	dos	Word	3	83	83	83	0	83	83	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	textos	0	0		0				0			0				0			0				0			0			0			0						9	1	textos	Word	6	0	0	0		0	0	0
Recording3	Participant3	Timeline2-Mode2	Text	1	Text	y	0	0		0				0			0				0			0				0			0			0			0						10	1	y	Word	1	0	0	0		0	0	0
