AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
tiempo,1.00,0.00,1.00,1.00,2,1.00,0.00,1.00,1.00,1,nan,nan,No
una,1.00,0.00,1.00,1.00,1,1.00,0.00,1.00,1.00,1,nan,nan,No
experimento,2.00,0.82,3.00,1.00,3,1.00,0.00,1.00,1.00,3,1.7321,0.2254,No
consistir,1.00,0.00,1.00,1.00,6,1.00,0.00,1.00,1.00,1,nan,nan,No
posteriormente,1.14,0.35,2.00,1.00,7,1.75,0.83,3.00,1.00,4,-1.2153,0.2990,No
contestar,1.00,0.00,1.00,1.00,1,1.00,0.00,1.00,1.00,1,nan,nan,No
relacionadas,1.20,0.40,2.00,1.00,5,1.00,0.00,1.00,1.00,4,1.0000,0.3739,No
ellos.,1.00,0.00,1.00,1.00,1,1.00,0.00,1.00,1.00,1,nan,nan,No
cada,3.00,0.00,3.00,3.00,1,1.00,0.00,1.00,1.00,1,nan,nan,No
pantalla,,1.00,0.00,1.00,1.00,3,1.00,0.00,1.00,1.00,1,nan,nan,No
consideres,1.33,0.47,2.00,1.00,6,1.00,0.00,1.00,1.00,3,1.5811,0.1747,No
pasarás,1.00,0.00,1.00,1.00,2,1.00,0.00,1.00,1.00,2,nan,nan,No
comenzar,1.00,0.00,1.00,1.00,5,1.67,0.94,3.00,1.00,3,-1.0000,0.4226,No
experimento,,1.00,0.00,1.00,1.00,1,1.00,0.00,1.00,1.00,3,nan,nan,No
