AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
con,190.00,59.61,283.00,100.00,10,200.00,109.85,450.00,67.00,8,-0.2173,0.8323,No
el,166.50,99.50,266.00,67.00,2,217.00,0.00,217.00,217.00,1,nan,nan,No
en,190.70,102.36,550.00,83.00,20,159.31,75.03,316.00,37.00,16,1.0311,0.3098,No
hay,266.50,138.05,583.00,83.00,12,204.71,143.59,550.00,100.00,7,0.8594,0.4071,No
para,219.85,106.56,483.00,83.00,13,327.44,166.72,716.00,133.00,9,-1.6183,0.1309,No
que,330.00,182.53,633.00,167.00,5,167.00,0.00,167.00,167.00,2,1.7861,0.1486,No
tiempo,227.18,100.55,383.00,117.00,11,231.83,106.84,450.00,117.00,12,-0.1028,0.9191,No
una,284.41,186.88,866.00,133.00,17,269.11,152.32,699.00,100.00,19,0.2598,0.7968,No
y,125.00,8.00,133.00,117.00,2,67.00,0.00,67.00,67.00,1,nan,nan,No
Para,191.75,95.19,350.00,67.00,8,268.86,121.75,550.00,183.00,7,-1.2566,0.2343,No
Este,279.00,102.45,466.00,133.00,8,345.14,262.12,949.00,117.00,7,-0.5812,0.5780,No
experimento,304.00,160.11,633.00,100.00,12,290.08,178.54,749.00,83.00,12,0.1925,0.8492,No
va,141.50,62.98,233.00,83.00,4,366.67,294.47,783.00,150.00,3,-1.0652,0.3928,No
consistir,337.86,178.95,699.00,67.00,14,288.00,82.03,433.00,133.00,10,0.8799,0.3896,No
leer,365.23,126.07,716.00,150.00,13,274.75,99.62,416.00,83.00,8,1.7279,0.1018,No
dos,166.71,40.83,233.00,117.00,7,244.17,162.95,550.00,83.00,6,-1.0361,0.3434,No
textos,283.08,168.07,799.00,117.00,13,258.12,167.28,666.00,100.00,8,0.3131,0.7586,No
posteriormente,374.20,239.27,916.00,100.00,15,498.50,591.74,2415.00,133.00,12,-0.6558,0.5227,No
contestar,255.71,140.57,516.00,83.00,14,243.57,124.64,566.00,100.00,14,0.2330,0.8176,No
unas,229.90,126.31,566.00,133.00,10,169.23,77.98,333.00,67.00,13,1.2707,0.2245,No
preguntas,188.46,69.76,366.00,100.00,13,175.53,64.51,333.00,117.00,15,0.4877,0.6301,No
relacionadas,345.40,212.14,1016.00,167.00,15,373.56,220.54,781.00,51.00,16,-0.3505,0.7285,No
ellos.,166.67,54.30,233.00,100.00,3,185.71,72.41,300.00,67.00,7,-0.3931,0.7120,No
No,374.50,108.50,483.00,266.00,2,191.50,50.72,250.00,133.00,4,1.6284,0.3262,No
límite,212.42,60.34,316.00,117.00,12,214.14,66.27,333.00,133.00,7,-0.0529,0.9587,No
cada,277.53,144.94,650.00,83.00,15,246.09,169.11,683.00,83.00,11,0.4762,0.6393,No
pantalla,,258.79,145.88,650.00,117.00,14,188.38,74.74,333.00,67.00,13,1.5353,0.1406,No
cuando,276.29,162.82,666.00,133.00,17,274.93,137.44,550.00,83.00,14,0.0245,0.9806,No
consideres,373.24,199.66,866.00,167.00,17,342.00,134.84,666.00,183.00,15,0.5074,0.6158,No
has,299.69,176.83,799.00,150.00,13,196.91,49.20,300.00,133.00,11,1.9261,0.0744,No
leido,,247.17,132.91,516.00,117.00,12,218.00,75.64,366.00,150.00,12,0.6325,0.5352,No
haz,179.81,81.34,466.00,67.00,21,144.29,58.24,283.00,71.00,14,1.4604,0.1537,No
click,265.60,148.10,682.00,83.00,20,215.88,93.52,500.00,67.00,24,1.2693,0.2138,No
tecla,202.83,44.55,283.00,133.00,12,245.67,113.12,416.00,67.00,12,-1.1685,0.2617,No
pasarás,282.13,133.33,533.00,117.00,15,284.12,125.54,516.00,67.00,16,-0.0413,0.9673,No
siguiente.,220.36,93.41,416.00,117.00,11,180.09,71.39,350.00,83.00,11,1.0832,0.2925,No
comenzar,240.43,106.81,466.00,83.00,14,285.57,136.82,683.00,133.00,14,-0.9377,0.3575,No
experimento,,316.53,175.18,733.00,167.00,15,315.27,206.42,849.00,133.00,15,0.0175,0.9862,No
tecla.,235.25,88.99,400.00,117.00,8,200.00,70.99,316.00,117.00,8,0.8193,0.4270,No
