AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
con,3992.30,1027.78,6828.00,3124.00,10,5738.00,3122.84,12245.00,2559.00,8,-1.4204,0.1925,No
el,5058.00,5045.00,10103.00,13.00,2,3237.00,0.00,3237.00,3237.00,1,nan,nan,No
en,7345.65,3483.36,13782.00,1484.00,17,6980.54,4100.30,14063.00,936.00,13,0.2485,0.8059,No
hay,3847.88,997.00,6185.00,2898.00,8,3937.33,1018.11,5752.00,2321.00,6,-0.1514,0.8825,No
la,7621.27,2493.43,12855.00,4548.00,11,7207.62,2560.92,14696.00,3892.00,13,0.3827,0.7057,No
para,4933.70,1258.33,6843.00,3205.00,10,4665.71,1017.03,6502.00,3498.00,7,0.4541,0.6565,No
que,5711.75,1076.61,7428.00,4454.00,4,5208.50,494.50,5703.00,4714.00,2,0.6336,0.5640,No
tiempo,4839.20,1373.69,7495.00,2856.00,10,5453.14,3231.47,12845.00,3473.00,7,-0.4396,0.6726,No
una,9211.75,2027.05,13374.00,5231.00,16,8204.89,3522.42,17625.00,2650.00,18,1.0050,0.3236,No
y,3554.00,1559.00,5113.00,1995.00,2,1576.00,0.00,1576.00,1576.00,1,nan,nan,No
a,2363.20,1915.12,5912.00,857.00,5,5151.40,3812.13,9168.00,65.00,5,-1.3071,0.2398,No
Para,7703.50,1924.45,10826.00,5820.00,6,9164.60,3758.40,16276.00,5123.00,5,-0.7069,0.5077,No
Este,636.86,146.03,905.00,461.00,7,662.00,150.59,855.00,420.00,5,-0.2618,0.7998,No
experimento,635.25,256.06,1251.00,313.00,12,637.83,252.22,1272.00,400.00,12,-0.0238,0.9812,No
va,2727.67,1127.82,3714.00,1149.00,3,3436.33,3521.23,8415.00,856.00,3,-0.2711,0.8079,No
consistir,1220.31,594.91,3137.00,414.00,13,1899.89,2440.85,8731.00,273.00,9,-0.7723,0.4605,No
leer,2636.90,3435.27,12759.00,242.00,10,2719.71,2864.16,9697.00,1250.00,7,-0.0506,0.9603,No
dos,1725.67,291.01,2083.00,1276.00,6,1821.00,638.40,2806.00,1191.00,6,-0.3038,0.7701,No
textos,1951.08,962.24,4486.00,389.00,12,2852.14,2994.44,10164.00,1161.00,7,-0.7172,0.4976,No
posteriormente,2626.93,1244.56,5513.00,1483.00,15,2840.36,2455.00,10530.00,1676.00,11,-0.2527,0.8043,No
contestar,2707.00,969.26,5729.00,1916.00,12,3237.85,2349.56,11179.00,1859.00,13,-0.7188,0.4825,No
unas,3161.11,1431.22,5962.00,316.00,9,3507.69,2716.17,11712.00,884.00,13,-0.3714,0.7144,No
preguntas,3302.83,1413.29,6212.00,443.00,12,3285.00,1974.59,8491.00,1067.00,9,0.0218,0.9829,No
relacionadas,3271.57,1254.74,6379.00,247.00,14,3494.31,2567.03,11912.00,1136.00,13,-0.2721,0.7888,No
ellos.,4702.00,784.51,5718.00,3808.00,3,3620.67,950.71,5303.00,2150.00,6,1.5471,0.1899,No
No,5361.50,415.50,5777.00,4946.00,2,5939.25,3897.51,12678.00,3331.00,4,-0.2525,0.8160,No
límite,5617.75,3136.60,15131.00,3164.00,12,4229.86,2116.18,7382.00,299.00,7,1.0835,0.2944,No
cada,5581.47,1572.71,8286.00,3614.00,15,5957.50,2654.58,13361.00,4315.00,10,-0.3839,0.7072,No
pantalla,,4884.42,2089.33,8127.00,264.00,12,5104.85,2729.78,13644.00,2776.00,13,-0.2185,0.8290,No
cuando,5676.73,1688.07,9386.00,3755.00,15,5124.08,3243.12,13878.00,394.00,12,0.5132,0.6150,No
consideres,6061.65,1629.68,9819.00,3988.00,17,5343.27,2947.24,14377.00,491.00,15,0.8101,0.4269,No
has,6447.85,1588.13,9393.00,4221.00,13,6635.00,3083.33,14660.00,3226.00,9,-0.1583,0.8772,No
leido,,7398.08,2570.41,13449.00,4748.00,12,7210.33,2675.65,14910.00,4497.00,12,0.1678,0.8683,No
haz,8059.33,2649.51,15103.00,4654.00,21,8946.92,3797.32,17425.00,3409.00,13,-0.7123,0.4849,No
click,8703.76,1865.33,12608.00,5296.00,17,7967.35,3445.17,17192.00,2467.00,23,0.8464,0.4030,No
tecla,7839.00,2040.51,11839.00,5154.00,12,7160.75,3710.33,16076.00,150.00,12,0.5312,0.6021,No
pasarás,7972.20,1886.67,12272.00,5420.00,15,7170.29,1995.98,10849.00,3408.00,14,1.0709,0.2938,No
siguiente.,8057.10,1683.39,10726.00,5637.00,10,6728.82,1498.61,8345.00,3591.00,11,1.8085,0.0872,No
comenzar,9046.15,2473.43,14620.00,6003.00,13,8831.15,2540.82,16609.00,6129.00,13,0.2100,0.8354,No
experimento,,8989.20,2152.34,13688.00,6153.00,15,8131.27,2244.17,11915.00,3487.00,15,1.0324,0.3108,No
tecla.,9976.43,2060.14,13091.00,6896.00,7,9369.75,1773.90,13280.00,6945.00,8,0.5640,0.5832,No
