AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
con,3798.67,508.11,4580.00,3308.00,6,7096.75,3309.34,12445.00,3636.00,4,-1.7141,0.1825,No
el,5258.00,4945.00,10203.00,313.00,2,3487.00,0.00,3487.00,3487.00,1,nan,nan,No
en,7689.39,3629.88,14082.00,2083.00,18,6630.69,3732.27,14263.00,1086.00,13,0.7609,0.4537,No
hay,4521.42,1329.53,7495.00,3164.00,12,5731.20,3484.08,12678.00,3744.00,5,-0.6768,0.5323,No
la,8045.17,2664.74,13504.00,4748.00,12,6751.10,1534.29,9433.00,4108.00,10,1.3587,0.1909,No
para,5323.38,2208.55,8753.00,210.00,13,5175.56,1209.53,7502.00,3814.00,9,0.1926,0.8493,No
que,6560.80,1588.78,9074.00,4654.00,5,5919.00,0.00,5919.00,5919.00,1,nan,nan,No
tiempo,5046.09,1319.38,7678.00,3039.00,11,4727.36,2791.96,13178.00,2443.00,11,0.3264,0.7489,No
una,9242.27,2174.91,13540.00,5480.00,15,7850.71,2822.62,16076.00,2850.00,17,1.5221,0.1386,No
y,3729.00,1567.00,5296.00,2162.00,2,1676.00,0.00,1676.00,1676.00,1,nan,nan,No
a,3505.67,2049.36,6196.00,1227.00,3,5650.50,3534.00,9384.00,299.00,6,-1.0003,0.3551,No
Para,9055.25,2833.57,14620.00,6003.00,8,7083.71,2593.67,11178.00,3237.00,7,1.3091,0.2133,No
Este,909.12,139.94,1154.00,716.00,8,2014.43,2462.88,8032.00,769.00,7,-1.0978,0.3142,No
experimento,915.40,276.69,1484.00,461.00,10,968.25,358.98,1690.00,613.00,12,-0.3717,0.7141,No
va,1880.33,1191.91,3520.00,722.00,3,3669.67,3579.31,8731.00,1073.00,3,-0.6708,0.5603,No
consistir,1445.71,480.62,2895.00,547.00,14,2073.30,2348.41,8998.00,406.00,10,-0.7903,0.4486,No
leer,3168.92,3160.29,13225.00,1523.00,12,3062.57,2919.21,10164.00,1583.00,7,0.0697,0.9455,No
dos,2346.14,1045.11,4819.00,1526.00,7,1930.40,552.13,2972.00,1424.00,5,0.8181,0.4332,No
textos,2044.25,443.39,2979.00,1483.00,12,3096.86,3043.98,10530.00,1360.00,7,-0.8422,0.4313,No
posteriormente,2842.67,1078.24,5729.00,1916.00,12,3005.42,2607.34,11179.00,2.00,12,-0.1913,0.8509,No
contestar,2820.00,1261.90,5962.00,242.00,12,2871.78,603.55,3972.00,2076.00,9,-0.1187,0.9069,No
unas,3385.50,1378.81,6212.00,483.00,10,3476.40,2922.01,11912.00,1067.00,10,-0.0844,0.9340,No
preguntas,3341.42,1286.15,6379.00,576.00,12,4173.29,2750.89,11712.00,1250.00,14,-0.9720,0.3432,No
relacionadas,3476.50,1682.00,6828.00,17.00,14,3511.15,3136.22,12245.00,273.00,13,-0.0340,0.9732,No
ellos.,4902.33,852.33,6002.00,3925.00,3,2804.75,883.99,3746.00,1501.00,4,2.6560,0.0514,No
No,5761.50,531.50,6293.00,5230.00,2,6156.25,3871.25,12845.00,3498.00,4,-0.1718,0.8735,No
límite,5870.67,3154.60,15448.00,3414.00,12,4434.29,2138.16,7599.00,448.00,7,1.1126,0.2821,No
cada,5899.64,1608.49,8503.00,3814.00,14,5767.50,3236.03,13644.00,224.00,10,0.1132,0.9117,No
pantalla,,4622.42,2391.38,8311.00,414.00,12,5331.77,2740.82,13878.00,2966.00,13,-0.6627,0.5142,No
cuando,6006.76,1649.58,9819.00,3988.00,17,5367.08,3189.70,14377.00,577.00,13,0.6340,0.5346,No
consideres,6231.73,1714.25,10335.00,4221.00,15,5869.00,3011.63,14660.00,691.00,14,0.3808,0.7073,No
has,6832.31,1654.49,9674.00,4454.00,13,6613.09,2949.23,14910.00,3409.00,11,0.2092,0.8371,No
leido,,7983.30,2679.16,13782.00,4963.00,10,7516.89,2960.15,15277.00,4714.00,9,0.3390,0.7389,No
haz,8318.75,2408.26,12324.00,5113.00,12,9477.00,3848.10,17625.00,5726.00,11,-0.8174,0.4254,No
click,8418.11,2840.92,12874.00,364.00,19,8142.43,3492.33,17425.00,2650.00,23,0.2753,0.7845,No
tecla,8077.75,2018.88,12039.00,5420.00,12,7423.00,3722.95,16276.00,400.00,12,0.5128,0.6147,No
pasarás,8380.62,2043.57,12855.00,5637.00,13,6898.46,1445.40,9168.00,3591.00,13,2.0512,0.0526,No
siguiente.,8282.00,1721.45,10826.00,5820.00,7,7202.40,1320.40,8528.00,3774.00,10,1.3019,0.2207,No
comenzar,9261.79,2406.17,14837.00,6153.00,14,9589.23,2488.45,16859.00,7393.00,13,-0.3340,0.7412,No
experimento,,9318.73,2235.98,13871.00,6403.00,15,8449.67,2224.02,12398.00,4070.00,15,1.0311,0.3113,No
tecla.,10902.50,2631.19,15570.00,7046.00,8,9930.29,1614.04,13480.00,8259.00,7,0.8149,0.4312,No
