AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
con,4029.20,1026.84,6862.00,3158.00,10,5061.25,3020.19,12279.00,2592.00,8,-0.8660,0.4109,No
el,5091.00,5045.00,10136.00,46.00,2,3270.00,0.00,3270.00,3270.00,1,nan,nan,No
en,7571.80,3488.02,13849.00,1534.00,20,7280.50,3778.50,14130.00,970.00,16,0.2309,0.8189,No
hay,4273.08,1339.02,7228.00,2915.00,12,3905.57,948.41,5769.00,2354.00,7,0.6570,0.5206,No
la,7852.31,2488.81,12888.00,4581.00,13,8057.29,3822.83,18557.00,3925.00,14,-0.1600,0.8743,No
para,5346.83,1431.13,7508.00,3222.00,12,4942.44,1247.10,7369.00,3548.00,9,0.6555,0.5203,No
que,6317.80,1502.92,8625.00,4488.00,5,5250.00,503.00,5753.00,4747.00,2,1.1808,0.2945,No
tiempo,4844.73,1308.85,7528.00,2922.00,11,4739.17,2735.75,12878.00,2326.00,12,0.1144,0.9103,No
una,9109.88,2038.06,13390.00,5264.00,17,8078.89,3502.10,17675.00,2683.00,19,1.0628,0.2965,No
y,3604.00,1576.00,5180.00,2028.00,2,1609.00,0.00,1609.00,1609.00,1,nan,nan,No
a,2390.00,1916.39,5946.00,907.00,5,5506.33,3537.78,9201.00,132.00,6,-1.6848,0.1305,No
Para,8864.00,2784.11,14421.00,5887.00,8,6855.14,2611.71,10995.00,2970.00,7,1.3410,0.2031,No
Este,644.75,140.52,922.00,477.00,8,753.71,166.45,1022.00,470.00,7,-1.2634,0.2309,No
experimento,646.50,253.05,1284.00,344.00,12,676.75,252.81,1306.00,450.00,12,-0.2805,0.7817,No
va,2222.25,1339.52,3731.00,639.00,4,3464.00,3512.73,8431.00,906.00,3,-0.4773,0.6733,No
consistir,1192.43,423.87,2529.00,481.00,14,1826.80,2337.77,8765.00,323.00,10,-0.8050,0.4407,No
leer,2452.92,3177.38,12809.00,292.00,12,2777.00,2683.12,9747.00,1300.00,8,-0.2323,0.8191,No
dos,2179.71,1065.52,4703.00,1309.00,7,1857.00,635.57,2839.00,1241.00,6,0.6211,0.5484,No
textos,1756.15,571.74,2796.00,455.00,13,2855.25,2803.72,10197.00,1177.00,8,-1.0248,0.3380,No
posteriormente,2671.40,1246.93,5563.00,1517.00,15,2933.18,2452.49,10580.00,1709.00,11,-0.3101,0.7611,No
contestar,2583.79,1149.02,5763.00,42.00,14,3281.54,2345.10,11213.00,1909.00,13,-0.9325,0.3640,No
unas,3207.20,1352.88,5996.00,366.00,10,3547.46,2713.04,11746.00,917.00,13,-0.3765,0.7108,No
preguntas,3335.77,1356.43,6229.00,493.00,13,3770.33,2811.03,11579.00,494.00,15,-0.5129,0.6134,No
relacionadas,3418.29,1368.60,6429.00,297.00,14,3944.71,3272.09,11946.00,175.00,14,-0.5352,0.5993,No
ellos.,4730.00,791.03,5752.00,3825.00,3,3339.14,1172.90,5319.00,1434.00,7,1.8890,0.1164,No
No,5378.00,415.00,5793.00,4963.00,2,5964.50,3892.69,12695.00,3364.00,4,-0.2566,0.8131,No
límite,5656.50,3139.73,15181.00,3181.00,12,4270.43,2106.02,7416.00,365.00,7,1.0839,0.2942,No
cada,5619.07,1575.01,8353.00,3647.00,15,5994.20,2661.60,13411.00,4348.00,10,-0.3820,0.7086,No
pantalla,,4638.43,2257.67,8161.00,314.00,14,5142.08,2729.59,13678.00,2809.00,13,-0.5004,0.6215,No
cuando,5779.53,1597.26,9402.00,3805.00,17,4798.43,3251.34,13911.00,303.00,14,0.9948,0.3330,No
consideres,6100.71,1629.33,9869.00,4021.00,17,5377.80,2946.55,14410.00,524.00,15,0.8154,0.4239,No
has,6482.38,1581.32,9427.00,4271.00,13,6416.27,2950.27,14710.00,3276.00,11,0.0637,0.9501,No
leido,,7427.17,2564.00,13466.00,4797.00,12,7246.33,2672.42,14943.00,4547.00,12,0.1619,0.8728,No
haz,8092.71,2652.52,15153.00,4671.00,21,8783.57,3721.55,17442.00,3459.00,14,-0.5803,0.5677,No
click,8595.26,2111.70,12641.00,4964.00,19,7924.08,3403.39,17242.00,2517.00,24,0.7743,0.4434,No
tecla,7875.17,2034.17,11856.00,5204.00,12,7202.33,3706.23,16109.00,200.00,12,0.5278,0.6044,No
pasarás,8010.93,1887.82,12322.00,5470.00,15,7631.50,2515.33,14161.00,3441.00,16,0.4614,0.6481,No
siguiente.,8179.55,1623.83,10759.00,5670.00,11,6768.27,1503.63,8378.00,3625.00,11,2.0166,0.0574,No
comenzar,9024.93,2389.36,14637.00,6037.00,14,9065.71,2529.18,16642.00,6179.00,14,-0.0423,0.9666,No
experimento,,9036.87,2148.14,13721.00,6203.00,15,8170.07,2245.52,11948.00,3520.00,15,1.0437,0.3056,No
tecla.,10688.00,2628.34,15420.00,6929.00,8,9407.25,1778.61,13330.00,6979.00,8,1.0677,0.3061,No
