Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	15	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	20L	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	40x20x25	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	40x20x251	217	1	8005	217	217	217	217	1	8005	217	217	217	217	217	1	8005	217	250	250	250	250	1	7972	250	0			0			0	7972	8221	71,6	64,95													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	acceso	233	1	22961	233	233	233	233	1	22961	233	233	233	233	233	1	22961	233	266	266	266	266	1	22927	266	0			0			0	22927	23194	50,51	55,54													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	acolchado	366	2	60500	366	183	167	200	2	60500	200	383	383	383	383	1	60500	383	416	416	416	416	1	60467	416	0			0			1	60467	60883	58,16	45,92													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	acolchado1	217	1	65213	217	217	217	217	1	65213	217	217	217	217	217	1	65213	217	233	233	233	233	1	65197	233	0			0			0	65197	65430	48,07	69,28													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	adecuada	217	1	12185	217	217	217	217	1	12185	217	217	217	217	217	1	12185	217	233	233	233	233	1	12169	233	0			0			0	12169	12402	50,42	39,82													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	adecuada1	217	1	56237	217	217	217	217	1	56237	217	217	217	217	217	1	56237	217	250	250	250	250	1	56203	250	0			0			0	56203	56453	52,63	48,83													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Además	217	1	23810	217	217	217	217	1	23810	217	217	217	217	217	1	23810	217	250	250	250	250	1	23777	250	0			0			0	23777	24027	66,91	66,48													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Además1	183	1	43696	183	183	183	183	1	43696	183	183	183	183	183	1	43696	183	200	200	200	200	1	43679	200	0			0			0	43679	43879	61,98	48,45													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	aerolíneas	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	agua	83	1	25009	83	83	83	83	1	25009	83	83	83	83	83	1	25009	83	117	117	117	117	1	24976	117	0			0			0	24976	25092	53,77	516,81													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	agua2	217	1	54305	217	217	217	217	1	54305	217	217	217	217	217	1	54305	217	233	233	233	233	1	54288	233	0			0			0	54288	54521	54,37	50,5													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	aire	200	1	60267	200	200	200	200	1	60267	200	200	200	200	200	1	60267	200	233	233	233	233	1	60234	233	0			0			0	60234	60467	49,01	58,16													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	ajusta	383	1	9704	383	383	383	383	1	9704	383	383	383	383	383	1	9704	383	433	433	433	433	1	9654	433	0			0			0	9654	10087	618,61	57,66													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	ajustables	233	1	64564	233	233	233	233	1	64564	233	233	233	233	233	1	64564	233	266	266	266	266	1	64530	266	0			0			0	64530	64797	58,21	51,82													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	al	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	alivian	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Almacenamiento	416	2	12801	416	208	200	217	2	12801	200	416	208	200	217	2	12801	200	483	241	233	250	2	12768	233	0			0			0	12768	13001	70,5	82,4													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	alta	217	1	52956	217	217	217	217	1	52956	217	217	217	217	217	1	52956	217	250	250	250	250	1	52922	250	0			0			0	52922	53172	57,05	47,68													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	ampliarla	150	1	70526	150	150	150	150	1	70526	150	150	150	150	150	1	70526	150	183	183	183	183	1	70493	183	0			0			0	70493	70676	65,7	46,66													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	amplio1	433	2	13268	433	217	150	283	2	13268	283	433	217	150	283	2	13268	283	500	250	183	316	2	13234	316	0			0			0	13234	13551	52,97	36,08													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Amplio	283	1	17531	283	283	283	283	1	17531	283	283	283	283	283	1	17531	283	333	333	333	333	1	17481	333	0			0			0	17481	17814	750,85	67,73													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	anchas	733	2	63315	733	366	167	566	2	63315	566	733	366	167	566	2	63315	566	766	383	183	583	2	63298	583	0			0			0	63298	63881	57,48	57,05													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	antirrobo	200	1	44778	200	200	200	200	1	44778	200	200	200	200	200	1	44778	200	217	217	217	217	1	44762	217	0			0			0	44762	44978	30,27	63,17													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	articulos	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	articulos1	183	1	37067	183	183	183	183	1	37067	183	183	183	183	183	1	37067	183	217	217	217	217	1	37034	217	0			0			0	37034	37250	55,37	54,92													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	asa	250	1	38899	250	250	250	250	1	38899	250	250	250	250	250	1	38899	250	283	283	283	283	1	38866	283	0			0			0	38866	39149	46,57	39,31													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	asiento	167	1	10536	167	167	167	167	1	10536	167	167	167	167	167	1	10536	167	200	200	200	200	1	10503	200	0			0			0	10503	10703	45,53	63													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Avion	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	bolsillo	283	1	22394	283	283	283	283	1	22394	283	283	283	283	283	1	22394	283	316	316	316	316	1	22361	316	0			0			0	22361	22678	73,25	515,38													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	bolsillo1	133	1	44112	133	133	133	133	1	44112	133	133	133	133	133	1	44112	133	167	167	167	167	1	44079	167	0			0			0	44079	44245	52,49	537,62													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	bolsillos	350	1	21612	350	350	350	350	1	21612	350	350	350	350	350	1	21612	350	383	383	383	383	1	21578	383	0			0			0	21578	21961	67,84	53,17													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	bolsillos1	250	1	24060	250	250	250	250	1	24060	250	250	250	250	250	1	24060	250	283	283	283	283	1	24027	283	0			0			0	24027	24310	66,48	58,33													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	botella	333	1	24643	333	333	333	333	1	24643	333	333	333	333	333	1	24643	333	366	366	366	366	1	24609	366	0			0			0	24609	24976	54,32	53,77													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	brindan	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	BritishAirways	200	1	16699	200	200	200	200	1	16699	200	200	200	200	200	1	16699	200	233	233	233	233	1	16665	233	0			0			0	16665	16898	44,32	42,27													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cabina1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cabina2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cabina3	766	2	26158	766	383	233	533	2	26158	533	766	383	233	533	2	26158	533	833	416	266	566	2	26125	566	0			0			0	26125	26691	64,39	36,68													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cabina4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cabina5	83	1	58751	83	83	83	83	1	58751	83	83	83	83	83	1	58751	83	100	100	100	100	1	58735	100	0			0			0	58735		57,88														
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Cabina	150	1	4957	150	150	150	150	1	4957	150	150	150	150	150	1	4957	150	167	167	167	167	1	4940	167	0			0			0	4940	5107	68,78	116,99													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cantidad	67	1	68944	67	67	67	67	1	68944	67	67	67	67	67	1	68944	67	100	100	100	100	1	68911	100	0			0			0	68911		64,76														
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	capacidad	200	1	9137	200	200	200	200	1	9137	200	200	200	200	200	1	9137	200	233	233	233	233	1	9104	233	0			0			0	9104	9337	62,51	36,14													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Caracteristicas	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cesta	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cm	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Color:	333	1	1127	333	333	333	333	1	1127	333	333	333	333	333	1	1127	333	416	416	416	416	1	1043	416	0			0			0		1460		104,34													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	ColumnaIzquierdaImagenes	283	1	72758	283	283	283	283	1	72758	283	283	283	283	283	1	72758	283	333	333	333	333	1	72708	333	0			0			0		73041		818,57													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	como	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	como1	167	1	67162	167	167	167	167	1	67162	167	167	167	167	167	1	67162	167	183	183	183	183	1	67145	183	0			0			0	67145	67328	38,73	50,79													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	como2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cómoda	217	1	57685	217	217	217	217	1	57685	217	217	217	217	217	1	57685	217	233	233	233	233	1	57669	233	0			0			0	57669	57902	45,36	59,3													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cómoda12	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	comodidad	233	1	62099	233	233	233	233	1	62099	233	233	233	233	233	1	62099	233	266	266	266	266	1	62066	266	0			0			0	62066	62332	44,47	48,42													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	comodo	133	1	62532	133	133	133	133	1	62532	133	133	133	133	133	1	62532	133	183	183	183	183	1	62482	183	0			0			0	62482	62665	664,7	44,32													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compañera	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compartimento	416	2	11253	416	208	200	217	2	11253	200	416	208	200	217	2	11253	200	483	241	233	250	2	11219	233	0			0			0	11219	11452	40,04	45,62													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compartimento1	366	2	13584	366	183	167	200	2	13584	167	366	183	167	200	2	13584	167	433	217	200	233	2	13551	200	0			0			0	13551	13751	36,08	68,74													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compartimento2	483	2	28040	483	241	217	266	2	28040	266	483	241	217	266	2	28040	266	550	275	250	300	2	28007	300	0			0			0	28007	28307	68,76	77,94													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compartimento3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compartimento4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	comprar	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	compresión	300	1	19463	300	300	300	300	1	19463	300	300	300	300	300	1	19463	300	333	333	333	333	1	19430	333	0			0			0	19430	19763	51,43	36,66													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con	167	1	4208	167	167	167	167	1	4208	167	167	167	167	167	1	4208	167	200	200	200	200	1	4174	200	0			0			0	4174	4374	39,18	296,49													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con2	133	1	27757	133	133	133	133	1	27757	133	133	133	133	133	1	27757	133	183	183	183	183	1	27707	183	0			0			0		27890		40,46													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con5	183	1	43895	183	183	183	183	1	43895	183	183	183	183	183	1	43895	183	200	200	200	200	1	43879	200	0			0			0	43879	44079	48,45	52,49													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con6	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con7	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con8	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	con9	167	1	65030	167	167	167	167	1	65030	167	167	167	167	167	1	65030	167	200	200	200	200	1	64997	200	0			0			0	64997	65197	56,48	48,07													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	construida	483	1	51823	483	483	483	483	1	51823	483	483	483	483	483	1	51823	483	516	516	516	516	1	51790	516	0			0			0	51790	52306	55,03	79,08													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	conveniencia	533	4	27208	450	150	133	167	3	27208	133	633	211	150	316	3	27208	316	716	239	183	333	3	27191	333	0			0			0	31238	31438	48,93	63,24													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Convenientes	150	1	29739	150	150	150	150	1	29739	150	150	150	150	150	1	29739	150	200	200	200	200	1	29689	200	0			0			0	29689	29889	179,38	79,84													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	correa	233	1	19197	233	233	233	233	1	19197	233	233	233	233	233	1	19197	233	266	266	266	266	1	19163	266	0			0			0	19163	19430	54,57	51,43													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	correas	316	2	41964	316	158	117	200	2	41964	200	316	158	117	200	2	41964	200	383	192	167	217	2	41947	217	0			0			0	41947	42163	40,93	52,05													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	correas1	183	1	63914	183	183	183	183	1	63914	183	183	183	183	183	1	63914	183	217	217	217	217	1	63881	217	0			0			0	63881	64097	57,05	47,37													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cremalleras	400	1	53205	400	400	400	400	1	53205	400	400	400	400	400	1	53205	400	433	433	433	433	1	53172	433	0			0			0	53172	53605	47,68	58,75													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cuatro	416	2	41231	416	208	183	233	2	41231	233	416	208	183	233	2	41231	233	516	258	217	300	2	41164	300	0			0			0	41164	41464	684,27	76,2													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cuenta1	516	2	32654	516	258	250	266	2	32654	266	516	258	250	266	2	32654	266	583	291	266	316	2	32604	316	0			0			0	32604	32920	752,1	63,68													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cuenta2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cuenta3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	Cuenta	383	2	18297	383	192	183	200	2	18297	183	383	192	183	200	2	18297	183	433	217	217	217	2	18264	217	0			0			0	18264	18481	52,21	50,5													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	cumplir	217	1	3958	217	217	217	217	1	3958	217	217	217	217	217	1	3958	217	233	233	233	233	1	3941	233	0			0			0	3941	4174	52,48	39,18													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de	183	1	69927	183	183	183	183	1	69927	183	183	183	183	183	1	69927	183	217	217	217	217	1	69893	217	0			0			0	69893	70110	73,88	45,36													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de5	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de6	200	1	9137	200	200	200	200	1	9137	200	200	200	200	200	1	9137	200	233	233	233	233	1	9104	233	0			0			0	9104	9337	62,51	36,14													
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de7	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de8	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	MochilaClaro	1	MochilaClaro	de9	0	0		0				0			0				0			0				0			0			0			0																	
