Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	15	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	20L	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	40x20x25	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	40x20x251	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	acceso	516	2	33997	516	258	150	366	2	33997	150	516	258	150	366	2	33997	150	550	275	167	383	2	33981	167	0			0			0	33981	34147	657,21	33,11													
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	acolchado	500	2	91322	500	250	150	350	2	91322	150	500	250	150	350	2	91322	150	600	300	217	383	2	91256	217	0			0			0	97085		39,1														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	acolchado1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	adecuada	1182	1	12196	1182	1182	1182	1182	1	12196	1182	1182	1182	1182	1182	1	12196	1182	1216	1216	1216	1216	1	12163	1216	0			0			0	12163		36,4														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	adecuada1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	Además	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	Además1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	aerolíneas	200	1	14545	200	200	200	200	1	14545	200	200	200	200	200	1	14545	200	217	217	217	217	1	14528	217	0			0			0	14528		30,22														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	agua	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	agua2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	aire	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	ajusta	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	ajustables	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	al	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	alivian	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	Almacenamiento	550	2	14095	550	275	117	433	2	14095	433	550	275	117	433	2	14095	433	633	316	183	450	2	14078	450	0			0			0	14078	14528	39,05	30,22													
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	alta	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	ampliarla	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	amplio1	133	1	23888	133	133	133	133	1	23888	133	133	133	133	133	1	23888	133	150	150	150	150	1	23871	150	0			0			0	23871		37,79														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	Amplio	400	1	13679	400	400	400	400	1	13679	400	400	400	400	400	1	13679	400	450	450	450	450	1	13629	450	0			0			0	13629	14078	579,31	39,05													
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	anchas	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	antirrobo	1715	1	68939	1715	1715	1715	1715	1	68939	1715	1715	1715	1715	1715	1	68939	1715	1765	1765	1765	1765	1	68889	1765	0			0			0	68889		667,49														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	articulos	266	1	22222	266	266	266	266	1	22222	266	266	266	266	266	1	22222	266	300	300	300	300	1	22189	300	0			0			0	22189		42,06														
Recording3	Participant3	Timeline2-Mode2	MochilaOscuro	1	MochilaOscuro	articulos1	783	3	50185	783	261	67	400	3	50185	316	783	261	67	400	3	50185	316	866	289	117	416	3	50169	333	0			0			0	50169	50502	36,97	39,43													
