Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	a	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	a1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	a2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	a3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	a4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	aereos	283	1	39468	283	283	283	283	1	39468	283	283	283	283	283	1	39468	283	300	300	300	300	1	39451	300	0			0			0	39451	39751	74,57	110,99													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	afincado	183	1	34205	183	183	183	183	1	34205	183	183	183	183	183	1	34205	183	217	217	217	217	1	34172	217	0			0			0	34172	34388	59,37	52,48													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	agronomicos	400	2	32889	400	200	150	250	2	32889	250	416	416	416	416	1	32889	416	450	450	450	450	1	32856	450	0			0			1	32856	33306	60,1	468,73													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	al	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	al1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	alimentacion	316	1	25062	316	316	316	316	1	25062	316	316	316	316	316	1	25062	316	350	350	350	350	1	25028	350	0			0			0	25028	25378	70,99	63,97													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	alimentos	300	1	35621	300	300	300	300	1	35621	300	300	300	300	300	1	35621	300	333	333	333	333	1	35587	333	0			0			0	35587	35921	71,59	68,93													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	altiplano	1072	3	13787	799	400	233	566	2	13787	566	1072	357	233	566	3	13787	566	1172	391	266	616	3	13737	616	0			0			0	13737	14353	81,65	76,79													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	altiplano1	283	1	15585	283	283	283	283	1	15585	283	283	283	283	283	1	15585	283	300	300	300	300	1	15569	300	0			0			0	15569	15868	47,52	57,3													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	altura	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Andes	266	1	14386	266	266	266	266	1	14386	266	266	266	266	266	1	14386	266	300	300	300	300	1	14353	300	0			0			0	14353	14653	76,79	50,9													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	andino	983	2	15885	983	491	450	533	2	15885	450	983	491	450	533	2	15885	450	1033	516	466	566	2	15868	466	0			0			0	15868	16335	57,3	51,26													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Antoine	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	años	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	aunque	350	1	26627	350	350	350	350	1	26627	350	350	350	350	350	1	26627	350	383	383	383	383	1	26594	383	0			0			0	26594	26977	48,14	672,23													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	botanica	217	1	24445	217	217	217	217	1	24445	217	217	217	217	217	1	24445	217	250	250	250	250	1	24412	250	0			0			0	24412	24662	44,42	68,51													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	caducifolia	699	3	38252	699	233	133	333	3	38252	133	733	733	733	733	1	38252	733	783	783	783	783	1	38202	783	0			0			2	38202	38985	248,48	38,36													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	centrales1	733	2	14686	733	366	283	450	2	14686	283	733	366	283	450	2	14686	283	799	400	316	483	2	14653	316	0			0			0	14653	14969	50,9	48,29													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	cercanias	683	3	16351	683	228	183	250	3	16351	250	699	350	250	450	2	16351	450	749	375	283	466	2	16335	466	0			0			1	16335	16801	51,26	61,78													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	comenzó	633	2	22031	633	316	183	450	2	22031	450	633	316	183	450	2	22031	450	683	341	200	483	2	21997	483	0			0			0	21997	22480	79,65	467,57													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	como	200	1	27443	200	200	200	200	1	27443	200	200	200	200	200	1	27443	200	217	217	217	217	1	27427	217	0			0			0	27427	27643	74,51	44,07													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	comprende	400	2	13553	400	200	183	217	2	13553	183	400	200	183	217	2	13553	183	466	233	217	250	2	13520	217	0			0			0	13520	13737	71,32	81,65													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	comun	350	2	5692	350	175	150	200	2	5692	200	350	175	150	200	2	5692	200	416	208	183	233	2	5659	233	0			0			0	5659	5892	60,89	66,9													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	conquistadores	516	3	20515	516	172	167	183	3	20515	167	516	172	167	183	3	20515	167	583	194	183	200	3	20498	183	0			0			0	20498	20682	57,26	65,79													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	consideraban	416	3	21281	416	139	83	233	3	21281	233	416	139	83	233	3	21281	233	516	172	117	266	3	21248	266	0			0			0	21248	21514	47,39	30,79													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	consumo	366	1	25411	366	366	366	366	1	25411	366	366	366	366	366	1	25411	366	400	400	400	400	1	25378	400	0			0			0	25378	25778	63,97	63,73													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Contenidos	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	convertirse	167	1	34955	167	167	167	167	1	34955	167	167	167	167	167	1	34955	167	183	183	183	183	1	34938	183	0			0			0	34938		653,07														
