Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	a	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	a1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	a2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	a3	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	a4	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	aereos	117	1	64487	117	117	117	117	1	64487	117	117	117	117	117	1	64487	117	133	133	133	133	1	64470	133	0			0			0		64604		33,96													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	afincado	699	2	41337	583	583	583	583	1	56110	583	699	350	117	583	2	41337	117	716	358	117	600	2	41337	117	0			0			0	56093	41454	47,16	39,23													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	agronomicos	1466	1	52646	1466	1466	1466	1466	1	52646	1466	1466	1466	1466	1466	1	52646	1466	1499	1499	1499	1499	1	52612	1499	0			0			0	52612	54111	40,04	252,8													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	al	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	al1	0	0		0				0			0				0			0				0			0			0			0																	
