Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	Este	0	0		0				0			0				0			0				0			0			0			0						1	1	Este	Word	4	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	experimento	350	3	593	350	117	67	200	3	593	67	416	416	416	416	1	593	416	433	433	433	433	1	576	433	0			0			2	576	1009	368,8	247,76		2	1	experimento	Word	11	0	0	0		350	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	va	0	0		0				0			0				0			0				0			0			0			0						3	1	va	Word	2	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	a	0	0		0				0			0				0			0				0			0			0			0						4	1	a	Word	1	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	consistir	217	2	1026	217	108	83	133	2	1026	133	250	250	250	250	1	1026	250	266	266	266	266	1	1009	266	0			0			1	1009	1276	247,76	90,48		5	1	consistir	Word	9	0	0	0		217	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	en	0	0		0				0			0				0			0				0			0			0			0						6	1	en	Word	2	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	leer	0	0		0				0			0				0			0				0			0			0			0						7	1	leer	Word	4	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	dos	217	1	1309	217	217	217	217	1	1309	217	217	217	217	217	1	1309	217	250	250	250	250	1	1276	250	0			0			0	1276	1526	90,48	72,53		8	1	dos	Word	3	0	0	0		217	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	textos	283	2	1559	283	142	133	150	2	1559	150	283	142	133	150	2	1559	150	366	183	183	183	2	1526	183	0			0			0	1526	1709	72,53	123,84		9	1	textos	Word	6	0	0	0		283	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	y	0	0		0				0			0				0			0				0			0			0			0						10	1	y	Word	1	0	0	0		0	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	posteriormente	383	2	1759	383	192	117	266	2	1759	266	383	192	117	266	2	1759	266	466	233	150	316	2	1709	316	0			0			0	1709	2025	123,84	97,07		11	1	posteriormente	Word	14	0	0	0		383	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	contestar	150	1	2392	150	150	150	150	1	2392	150	150	150	150	150	1	2392	150	183	183	183	183	1	2358	183	0			0			0	2358	2542	129,45	720,29		12	1	contestar	Word	9	0	0	0		150	0	0
Recording1	Participant1	Timeline1-Mode1	Text1	1	Text1	unas	133	1	2758	133	133	133	133	1	2758	133	133	133	133	133	1	2758	133	167	167	167	167	1	2725	167	0			0			0	2725	2891	57,48	139,75		13	1	unas	Word	4	0	0	0		133	0	0
